ID,Country,Departure City,Destination City,Price,iGV Fee,OGV Fee,iGTa Fee,OGTa Fee,iGTe Fee,OGTe Fee,iGV,oGV,iGTa,oGTa,iGTe,oGTe
4,Myanmar,Naypyidaw,Colombo,774,0,137.5071603,0,114.5893003,0,0,0,2,0,2,0,0
29,Cabo Verde,Praia,Colombo,3293,0,0,0,0,0,0,0,0,0,0,0,0
56,Kuwait,Kuwait City,Colombo,391,0,629.7436379,314.871819,787.1795475,0,0,0,6,0,0,0,0
57,Montenegro,Podgorica,Colombo,919,657.4178081,98.12206092,0,0,0,0,0,2,0,0,0,0
78,Namibia,Windhoek,Colombo,1779,0,0,0,0,0,0,0,0,0,0,0,0
79,Belarus,Minsk,Colombo,1738,0,0,0,0,0,0,0,0,0,0,0,0
112,Nepal,Kathmandu,Colombo,474,105.6,101.2,0,145.2,0,145.2,38,16,0,2,0,1
133,Albania,Tirana,Colombo,1370,0,0,0,130,0,130,0,0,0,1,0,1
177,Paraguay,Asuncion,Colombo,2410,0,0,0,0,0,0,0,0,1,0,0,0
178,Nicaragua,Managua,Colombo,2491,0,183.1416724,0,274.7125086,0,320.4979266,0,2,0,3,0,1
180,Burkina Faso,Ouagadougou,Colombo,1706,115.6532876,77.10219172,0,77.10219172,0,0,0,2,1,10,0,1
182,Lebanon,Beirut,Colombo,526,384.8159329,144.3059748,0,192.4079665,0,211.6487631,0,1,0,0,0,0
219,Liberia,Monrovia,Colombo,2613,73.40253621,77.99019472,0,91.7531703,0,0,0,3,0,0,0,0
305,Cambodia,Phnom Penh,Colombo,473,105.8243816,168.3569707,0,0,0,0,21,5,0,0,6,0
409,Mongolia,Ulaanbaatar,Colombo,917,238.5712071,183.089531,416.1125705,416.1125705,416.1125705,416.1125705,0,8,0,0,0,0
457,Algeria,Algiers,Colombo,1165,0,106.8031681,0,106.8031681,0,142.4042242,0,81,0,46,0,84
459,Benin,Porto-Novo,Colombo,2211,0.231306575,46.26131503,115.6532876,154.2043834,92.52263006,154.2043834,1,7,0,0,0,0
476,Ethiopia,Addis Ababa,Colombo,736,1.401952741,18.94530732,378.4363027,26.52343024,274.5857061,34.10155317,0,1,0,0,0,1
494,Kazakhstan,Astana,Colombo,940,359.1622054,107.7486617,359.1622055,0,359.1622055,0,0,45,0,3,0,9
504,Vietnam,Hanoi,Colombo,346,114.587455,144.7923903,0,178.1191173,263.2246575,0,92,302,7,31,35,0
